id,name,artists,album,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6bUAaVkmBr9xrsWkeTLu03,Sweet Disposition,The Temper Trap,Conditions,2009,55,0.53,0.801,2,-7.27,1,0.0424,0.0725,0.198,0.116,0.314,129.109,audio_features,spotify:track:6bUAaVkmBr9xrsWkeTLu03,https://api.spotify.com/v1/tracks/6bUAaVkmBr9xrsWkeTLu03,https://api.spotify.com/v1/audio-analysis/6bUAaVkmBr9xrsWkeTLu03,236467,4
2KufM8PiQY4i52XhRL96Fd,Champagne Coast,Blood Orange,Coastal Grooves,2011-08-30,71,0.813,0.406,9,-12.626,1,0.0662,0.0203,0.392,0.0757,0.755,122.658,audio_features,spotify:track:2KufM8PiQY4i52XhRL96Fd,https://api.spotify.com/v1/tracks/2KufM8PiQY4i52XhRL96Fd,https://api.spotify.com/v1/audio-analysis/2KufM8PiQY4i52XhRL96Fd,292373,4
5iJKGpnFfvbjZJeAtwXfCj,28,Zach Bryan,The Great American Bar Scene,2024-07-04,81,0.492,0.519,7,-6.886,1,0.0288,0.227,8.47e-05,0.0693,0.435,80.868,audio_features,spotify:track:5iJKGpnFfvbjZJeAtwXfCj,https://api.spotify.com/v1/tracks/5iJKGpnFfvbjZJeAtwXfCj,https://api.spotify.com/v1/audio-analysis/5iJKGpnFfvbjZJeAtwXfCj,233333,3
4nUIq4IuoIiHKYdov9A4Yg,Shotput,Still Woozy,Loveseat,2024-06-28,61,0.714,0.668,6,-4.801,0,0.0592,0.357,0.000196,0.162,0.915,100.837,audio_features,spotify:track:4nUIq4IuoIiHKYdov9A4Yg,https://api.spotify.com/v1/tracks/4nUIq4IuoIiHKYdov9A4Yg,https://api.spotify.com/v1/audio-analysis/4nUIq4IuoIiHKYdov9A4Yg,170698,4
3dvXRk7TZ929m21p49RR5P,Mariella,"Khruangbin, Leon Bridges",Texas Moon,2022-02-18,68,0.593,0.576,2,-10.331,1,0.032,0.526,0.718,0.0827,0.559,109.935,audio_features,spotify:track:3dvXRk7TZ929m21p49RR5P,https://api.spotify.com/v1/tracks/3dvXRk7TZ929m21p49RR5P,https://api.spotify.com/v1/audio-analysis/3dvXRk7TZ929m21p49RR5P,310554,4
7slBlaUuSCgADZBuTQDYBB,¿Cómo Pasó?,Ela Taubert,¿Cómo Pasó?,2024-02-14,74,0.705,0.743,6,-5.239,1,0.0536,0.0294,0.0,0.101,0.443,119.989,audio_features,spotify:track:7slBlaUuSCgADZBuTQDYBB,https://api.spotify.com/v1/tracks/7slBlaUuSCgADZBuTQDYBB,https://api.spotify.com/v1/audio-analysis/7slBlaUuSCgADZBuTQDYBB,174547,4
2dono2Koz7DEvGwxUsmMLq,Linger - SiriusXM Session,Royel Otis,Linger / Heading For The Door (Sirius XM Session),2024-05-31,78,0.404,0.393,2,-6.607,1,0.0262,0.806,0.000443,0.0938,0.403,98.217,audio_features,spotify:track:2dono2Koz7DEvGwxUsmMLq,https://api.spotify.com/v1/tracks/2dono2Koz7DEvGwxUsmMLq,https://api.spotify.com/v1/audio-analysis/2dono2Koz7DEvGwxUsmMLq,186000,4
2YFhqZvhTpyK13gKXMKV7R,"Girl, so confusing featuring lorde","Charli xcx, Lorde","Girl, so confusing featuring lorde",2024-06-21,71,0.692,0.823,11,-7.209,0,0.0547,0.17,0.00802,0.134,0.458,124.964,audio_features,spotify:track:2YFhqZvhTpyK13gKXMKV7R,https://api.spotify.com/v1/tracks/2YFhqZvhTpyK13gKXMKV7R,https://api.spotify.com/v1/audio-analysis/2YFhqZvhTpyK13gKXMKV7R,207412,4
4HsjtyUDFGAxRF3AaA6q07,POLARIS - Remix,"SAIKO, Feid, Quevedo, Mora",SAKURA,2024-04-26,63,0.608,0.804,11,-4.031,1,0.0744,0.157,0.0,0.486,0.511,169.894,audio_features,spotify:track:4HsjtyUDFGAxRF3AaA6q07,https://api.spotify.com/v1/tracks/4HsjtyUDFGAxRF3AaA6q07,https://api.spotify.com/v1/audio-analysis/4HsjtyUDFGAxRF3AaA6q07,288000,4
3q9oTSo64CrjOiPwI4DbWE,Baianá,Bakermat,The Ringmaster,2020-10-09,1,0.587,0.722,2,-6.983,0,0.0709,0.000754,0.668,0.543,0.466,121.964,audio_features,spotify:track:3q9oTSo64CrjOiPwI4DbWE,https://api.spotify.com/v1/tracks/3q9oTSo64CrjOiPwI4DbWE,https://api.spotify.com/v1/audio-analysis/3q9oTSo64CrjOiPwI4DbWE,180843,4
7wRijQK8vRmGLK0RYW7Vr1,Quietly Yours,Birdy,Persuasion (Soundtrack from the Netflix Film),2022-07-15,57,0.306,0.35,1,-14.263,1,0.0674,0.837,0.00266,0.114,0.276,154.43,audio_features,spotify:track:7wRijQK8vRmGLK0RYW7Vr1,https://api.spotify.com/v1/tracks/7wRijQK8vRmGLK0RYW7Vr1,https://api.spotify.com/v1/audio-analysis/7wRijQK8vRmGLK0RYW7Vr1,234156,4
2a1o6ZejUi8U3wzzOtCOYw,Danza Kuduro,"Don Omar, Lucenzo",Meet The Orphans,2010-01-01,79,0.4,0.915,0,-4.89,1,0.279,0.083,0.0,0.0503,0.871,89.006,audio_features,spotify:track:2a1o6ZejUi8U3wzzOtCOYw,https://api.spotify.com/v1/tracks/2a1o6ZejUi8U3wzzOtCOYw,https://api.spotify.com/v1/audio-analysis/2a1o6ZejUi8U3wzzOtCOYw,198773,3
1spjTB2jFkxAvMdKas3x2H,París,Ingratax,KITSUNE,2022-11-24,60,0.588,0.46,1,-5.748,0,0.1,0.452,0.000777,0.0667,0.414,168.012,audio_features,spotify:track:1spjTB2jFkxAvMdKas3x2H,https://api.spotify.com/v1/tracks/1spjTB2jFkxAvMdKas3x2H,https://api.spotify.com/v1/audio-analysis/1spjTB2jFkxAvMdKas3x2H,151429,4
6xpF0dbtDGmEd0En18Kfwl,Wandering Child,Wild Rivers,Wild Rivers,2016-04-16,60,0.671,0.34,2,-12.108,1,0.0351,0.793,1.93e-06,0.0948,0.365,98.012,audio_features,spotify:track:6xpF0dbtDGmEd0En18Kfwl,https://api.spotify.com/v1/tracks/6xpF0dbtDGmEd0En18Kfwl,https://api.spotify.com/v1/audio-analysis/6xpF0dbtDGmEd0En18Kfwl,184426,4
6QTPacyXkZWG9FMwq6L1hJ,Love You For A Long Time,Maggie Rogers,Love You For A Long Time,2019-11-21,66,0.707,0.67,9,-6.137,1,0.0323,0.164,0.00283,0.109,0.822,112.993,audio_features,spotify:track:6QTPacyXkZWG9FMwq6L1hJ,https://api.spotify.com/v1/tracks/6QTPacyXkZWG9FMwq6L1hJ,https://api.spotify.com/v1/audio-analysis/6QTPacyXkZWG9FMwq6L1hJ,223120,4
23KE83mQ6w9bk6bdMCZ0CU,I Do - Bonus Track,Wild Rivers,Songs to Break Up To,2020-05-01,30,0.889,0.416,11,-8.868,0,0.107,0.224,0.0,0.257,0.563,127.98,audio_features,spotify:track:23KE83mQ6w9bk6bdMCZ0CU,https://api.spotify.com/v1/tracks/23KE83mQ6w9bk6bdMCZ0CU,https://api.spotify.com/v1/audio-analysis/23KE83mQ6w9bk6bdMCZ0CU,184444,4
6xp1u6ZEHXX8DxJIFFrVoP,Little Things x Gypsy Woman - L BEATS MASHUP,Jorja Smith,Little Things x Gypsy Woman (L BEATS MASHUP),2023-06-30,69,0.644,0.879,6,-5.204,0,0.0761,0.00423,6.91e-06,0.286,0.808,126.935,audio_features,spotify:track:6xp1u6ZEHXX8DxJIFFrVoP,https://api.spotify.com/v1/tracks/6xp1u6ZEHXX8DxJIFFrVoP,https://api.spotify.com/v1/audio-analysis/6xp1u6ZEHXX8DxJIFFrVoP,131000,4
7fzHQizxTqy8wTXwlrgPQQ,MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,2024-04-26,40,0.849,0.699,1,-5.106,0,0.0436,0.0982,0.000215,0.068,0.927,138.003,audio_features,spotify:track:7fzHQizxTqy8wTXwlrgPQQ,https://api.spotify.com/v1/tracks/7fzHQizxTqy8wTXwlrgPQQ,https://api.spotify.com/v1/audio-analysis/7fzHQizxTqy8wTXwlrgPQQ,155152,4
19kHhX6f6EfLU7rcO3RqjO,Back On 74,Jungle,Volcano,2023-08-11,79,0.62,0.761,10,-7.282,0,0.175,0.207,0.000147,0.269,0.194,146.003,audio_features,spotify:track:19kHhX6f6EfLU7rcO3RqjO,https://api.spotify.com/v1/tracks/19kHhX6f6EfLU7rcO3RqjO,https://api.spotify.com/v1/audio-analysis/19kHhX6f6EfLU7rcO3RqjO,209483,4
42UaitnwvuKqNcD5Oa2HlD,Thinking 'Bout Love,Wild Rivers,Songs to Break Up To,2020-05-01,71,0.733,0.324,5,-8.122,1,0.033,0.479,0.0,0.067,0.388,141.8,audio_features,spotify:track:42UaitnwvuKqNcD5Oa2HlD,https://api.spotify.com/v1/tracks/42UaitnwvuKqNcD5Oa2HlD,https://api.spotify.com/v1/audio-analysis/42UaitnwvuKqNcD5Oa2HlD,199391,4
4IZTru7nKgBE8sBq6aMY56,Orange Blossoms,GoldFord,Orange Blossoms,2023-10-18,59,0.677,0.879,9,-4.509,0,0.127,0.372,3.02e-06,0.11,0.592,149.849,audio_features,spotify:track:4IZTru7nKgBE8sBq6aMY56,https://api.spotify.com/v1/tracks/4IZTru7nKgBE8sBq6aMY56,https://api.spotify.com/v1/audio-analysis/4IZTru7nKgBE8sBq6aMY56,192132,4
1swz9stsbG1p34SJHJqiww,Murder on the Dance Floor - triple j Like A Version,Royel Otis,Murder on the Dancefloor (triple j Like A Version),2024-01-29,67,0.56,0.699,4,-8.501,1,0.0327,0.00483,0.0,0.223,0.512,122.942,audio_features,spotify:track:1swz9stsbG1p34SJHJqiww,https://api.spotify.com/v1/tracks/1swz9stsbG1p34SJHJqiww,https://api.spotify.com/v1/audio-analysis/1swz9stsbG1p34SJHJqiww,180872,4
6t3RJKJh8DYIaYh82Xy2LJ,Faded,Suki Waterhouse,My Fun,2024-04-11,37,0.578,0.688,0,-5.722,1,0.0253,0.338,0.0,0.241,0.46,94.076,audio_features,spotify:track:6t3RJKJh8DYIaYh82Xy2LJ,https://api.spotify.com/v1/tracks/6t3RJKJh8DYIaYh82Xy2LJ,https://api.spotify.com/v1/audio-analysis/6t3RJKJh8DYIaYh82Xy2LJ,175181,4
4hFZF8l3pJfFOtXs7K0nUJ,world,Zeph,crush (demos),2022-04-18,46,0.79,0.428,0,-16.683,0,0.169,0.371,0.0299,0.192,0.382,129.971,audio_features,spotify:track:4hFZF8l3pJfFOtXs7K0nUJ,https://api.spotify.com/v1/tracks/4hFZF8l3pJfFOtXs7K0nUJ,https://api.spotify.com/v1/audio-analysis/4hFZF8l3pJfFOtXs7K0nUJ,62785,4
